,EVTYPE,Total_Prop_Damage,Total_Crop_Damage,Total_Damage
212,COLD WIND CHILL TEMPERATURES,0,0,0
213,COOL SPELL,0,0,0
214,CSTL FLOODING/EROSION,0,0,0
215,DRIEST MONTH,0,0,0
216,Drifting Snow,0,0,0
217,DROWNING,0,0,0
218,DRY,0,0,0
219,DRY CONDITIONS,0,0,0
220,DRY SPELL,0,0,0
221,DRY WEATHER,0,0,0
222,DRYNESS,0,0,0
223,DUST DEVEL,0,0,0
224,EARLY RAIN,0,0,0
225,Early snowfall,0,0,0
226,EARLY SNOWFALL,0,0,0
227,Excessive Cold,0,0,0
228,EXCESSIVE HEAT/DROUGHT,0,0,0
229,EXCESSIVE RAIN,0,0,0
230,EXCESSIVE RAINFALL,0,0,0
231,EXCESSIVELY DRY,0,0,0
232,EXTREME WIND CHILL,0,0,0
233,EXTREME WINDCHILL TEMPERATURES,0,0,0
234,EXTREMELY WET,0,0,0
235,FALLING SNOW/ICE,0,0,0
236,FIRST FROST,0,0,0
237,FIRST SNOW,0,0,0
238,FLASH FLOODING,0,0,0
239,Flood,0,0,0
240,Flood/Flash Flood,0,0,0
241,Flood/Strong Wind,0,0,0
242,Freezing Fog,0,0,0
243,Freezing rain,0,0,0
244,FREEZING RAIN/SLEET,0,0,0
245,Freezing Spray,0,0,0
246,Frost,0,0,0
247,Funnel Cloud,0,0,0
248,FUNNEL CLOUDS,0,0,0
249,GUSTY LAKE WIND,0,0,0
250,GUSTY THUNDERSTORM WIND,0,0,0
251,GUSTY THUNDERSTORM WINDS,0,0,0
252,Gusty Wind,0,0,0
253,Gusty winds,0,0,0
254,Hail(0.75),0,0,0
255,HAIL/WIND,0,0,0
256,HAZARDOUS SURF,0,0,0
257,Heat Wave,0,0,0
258,HEAT WAVE,0,0,0
259,Heatburst,0,0,0
260,Heavy Precipitation,0,0,0
261,Heavy rain,0,0,0
262,Heavy Rain,0,0,0
263,Heavy Rain and Wind,0,0,0
264,HEAVY RAIN EFFECTS,0,0,0
265,HEAVY RAIN/WIND,0,0,0
266,HEAVY RAINFALL,0,0,0
267,HEAVY SEAS,0,0,0
268,HEAVY SNOW SQUALLS,0,0,0
269,Heavy surf and wind,0,0,0
270,HIGH  SWELLS,0,0,0
271,HIGH SURF ADVISORIES,0,0,0
272,HIGH SURF ADVISORY,0,0,0
273,HIGH WATER,0,0,0
274,High Wind,0,0,0
275,Hot and Dry,0,0,0
276,HOT SPELL,0,0,0
277,HOT WEATHER,0,0,0
278,Hurricane Edouard,0,0,0
279,HYPERTHERMIA/EXPOSURE,0,0,0
280,ICE,0,0,0
281,Ice Fog,0,0,0
282,ICE JAM,0,0,0
283,ICE ON ROAD,0,0,0
284,ICE PELLETS,0,0,0
285,Ice/Snow,0,0,0
286,ICE/SNOW,0,0,0
287,Icestorm/Blizzard,0,0,0
288,Icy Roads,0,0,0
289,LANDSLUMP,0,0,0
290,Late-season Snowfall,0,0,0
291,LATE FREEZE,0,0,0
292,LATE SEASON HAIL,0,0,0
293,Late Season Snowfall,0,0,0
294,LATE SNOW,0,0,0
295,Light Snow/Flurries,0,0,0
296,LIGHT SNOW/FREEZING PRECIP,0,0,0
297,LOCALLY HEAVY RAIN,0,0,0
298,"Metro Storm, May 26",0,0,0
299,Mild and Dry Pattern,0,0,0
300,Minor Flooding,0,0,0
301,MIXED PRECIP,0,0,0
302,MODERATE SNOW,0,0,0
303,MODERATE SNOWFALL,0,0,0
304,MONTHLY PRECIPITATION,0,0,0
305,Monthly Rainfall,0,0,0
306,MONTHLY RAINFALL,0,0,0
307,MONTHLY SNOWFALL,0,0,0
308,MONTHLY TEMPERATURE,0,0,0
309,Mountain Snows,0,0,0
310,Mudslide,0,0,0
311,MUDSLIDE/LANDSLIDE,0,0,0
312,Mudslides,0,0,0
313,MUDSLIDES,0,0,0
314,No Severe Weather,0,0,0
315,NON SEVERE HAIL,0,0,0
316,NON TSTM WIND,0,0,0
317,NONE,0,0,0
318,NORTHERN LIGHTS,0,0,0
319,PATCHY DENSE FOG,0,0,0
320,PATCHY ICE,0,0,0
321,Prolong Cold,0,0,0
322,PROLONG COLD,0,0,0
323,PROLONG WARMTH,0,0,0
324,PROLONGED RAIN,0,0,0
325,RAIN (HEAVY),0,0,0
326,Rain Damage,0,0,0
327,RAIN/SNOW,0,0,0
328,RECORD  COLD,0,0,0
329,Record Cold,0,0,0
330,RECORD COLD,0,0,0
331,RECORD COOL,0,0,0
332,Record dry month,0,0,0
333,RECORD DRYNESS,0,0,0
334,Record Heat,0,0,0
335,RECORD HEAT,0,0,0
336,Record High,0,0,0
337,RECORD LOW RAINFALL,0,0,0
338,Record May Snow,0,0,0
339,RECORD PRECIPITATION,0,0,0
340,RECORD RAINFALL,0,0,0
341,RECORD SNOW,0,0,0
342,RECORD SNOWFALL,0,0,0
343,Record temperature,0,0,0
344,RECORD TEMPERATURE,0,0,0
345,Record Temperatures,0,0,0
346,RECORD TEMPERATURES,0,0,0
347,RECORD WARM,0,0,0
348,RECORD WARM TEMPS.,0,0,0
349,Record Warmth,0,0,0
350,RECORD WARMTH,0,0,0
351,Record Winter Snow,0,0,0
352,RED FLAG CRITERIA,0,0,0
353,RED FLAG FIRE WX,0,0,0
354,REMNANTS OF FLOYD,0,0,0
355,RIVER FLOODING,0,0,0
356,ROGUE WAVE,0,0,0
357,ROUGH SEAS,0,0,0
358,Saharan Dust,0,0,0
359,SAHARAN DUST,0,0,0
360,Seasonal Snowfall,0,0,0
361,SEVERE THUNDERSTORM,0,0,0
362,SEVERE THUNDERSTORMS,0,0,0
363,SLEET,0,0,0
364,SLEET STORM,0,0,0
365,SLEET/FREEZING RAIN,0,0,0
366,small hail,0,0,0
367,Small Hail,0,0,0
368,Sml Stream Fld,0,0,0
369,SMOKE,0,0,0
370,Snow Accumulation,0,0,0
371,SNOW ADVISORY,0,0,0
372,Snow and Ice,0,0,0
373,SNOW AND ICE,0,0,0
374,Snow and sleet,0,0,0
375,SNOW AND SLEET,0,0,0
376,SNOW DROUGHT,0,0,0
377,SNOW SHOWERS,0,0,0
378,Snow squalls,0,0,0
379,SNOW/BLOWING SNOW,0,0,0
380,SNOW/FREEZING RAIN,0,0,0
381,SNOW/ICE,0,0,0
382,SNOW/SLEET,0,0,0
383,SNOWMELT FLOODING,0,0,0
384,STREET FLOODING,0,0,0
385,STRONG WIND GUST,0,0,0
386,Strong winds,0,0,0
387,Temperature record,0,0,0
388,Thundersnow shower,0,0,0
389,THUNDERSTORM,0,0,0
390,Thunderstorm Wind,0,0,0
391,THUNDERSTORM WIND (G40),0,0,0
392,THUNDERSTORMS,0,0,0
393,TORNADO DEBRIS,0,0,0
394,Torrential Rainfall,0,0,0
395,TSTM,0,0,0
396,TSTM HEAVY RAIN,0,0,0
397,TSTM WINDS,0,0,0
398,TSTM WND,0,0,0
399,UNSEASONABLY COOL,0,0,0
400,UNSEASONABLY COOL & WET,0,0,0
401,UNSEASONABLY DRY,0,0,0
402,UNSEASONABLY HOT,0,0,0
403,UNSEASONABLY WARM & WET,0,0,0
404,UNSEASONABLY WARM AND DRY,0,0,0
405,UNSEASONABLY WARM YEAR,0,0,0
406,UNSEASONABLY WARM/WET,0,0,0
407,UNSEASONABLY WET,0,0,0
408,UNSEASONAL LOW TEMP,0,0,0
409,UNUSUAL WARMTH,0,0,0
410,UNUSUAL/RECORD WARMTH,0,0,0
411,UNUSUALLY COLD,0,0,0
412,UNUSUALLY LATE SNOW,0,0,0
413,UNUSUALLY WARM,0,0,0
414,Urban flood,0,0,0
415,Urban Flood,0,0,0
416,URBAN FLOOD,0,0,0
417,Urban Flooding,0,0,0
418,URBAN/SMALL STRM FLDG,0,0,0
419,URBAN/SML STREAM FLDG,0,0,0
420,URBAN/STREET FLOODING,0,0,0
421,VERY DRY,0,0,0
422,VERY WARM,0,0,0
423,VOG,0,0,0
424,Volcanic Ash,0,0,0
425,Volcanic Ash Plume,0,0,0
426,VOLCANIC ASHFALL,0,0,0
427,VOLCANIC ERUPTION,0,0,0
428,WAKE LOW WIND,0,0,0
429,WALL CLOUD,0,0,0
430,WARM WEATHER,0,0,0
431,WATERSPOUTS,0,0,0
432,wet micoburst,0,0,0
433,Wet Month,0,0,0
434,Wet Year,0,0,0
435,WIND ADVISORY,0,0,0
436,WIND CHILL,0,0,0
437,WIND DAMAGE,0,0,0
438,WIND GUSTS,0,0,0
439,WINDS,0,0,0
440,WINTER MIX,0,0,0
441,Winter Weather,0,0,0
442,WINTERY MIX,0,0,0
443,Wintry mix,0,0,0
444,WND,0,0,0
